id;valence;doc_type;content_type;title;topic;region;tags;body;steps;source
os_nasale;learn;entry;bone;Os Nasale;Movement System;Head_Face;"viscerocranium; kafa; yüz; burun; nazal; yassı kemik; çift";Burun sırtının arka bölümünü oluşturur.;"[""2 adet Os Nasale vardır.""]";Ders kitabı s.55
os_lacrimale;learn;entry;bone;Os Lacrimale;Movement System;Head_Face;"viscerocranium; kafa; yüz; lakrimal; gözyaşı; yassı kemik; küçük; ince; çift";Göz çukurunun iç yan duvarının ön tarafında yer alır. ;"[""2 adet Os Lacrimale vardır."", ""Yüz kemiklerinin en küçüğü ve en incesidir."", ""İç tarafta gözyaşı kanalı ile komşudur.""]";Ders kitabı s.55
os_palatinum;learn;entry;bone;Os Palatinum;Movement System;Head_Face;"viscerocranium; kafa; yüz; palatin; düzensiz; çift; damak";Üst çene kemiği ile beraber ağız boşluğunun tavanını oluşturur.;"[""2 adet Os Palatinum vardır.""]";Ders kitabı s.55
concha_nasalis_inferior;learn;entry;bone;Concha Nasalis Inferior;Movement System;Head_Face;"viscerocranium; kafa; yüz; alt; burun; düzensiz; çift; konka";Burun boşluğunun dış yan duvarında bulunur.;"[""2 adet Concha Nasalis Inferior vardır."", ""Burun boşluğu dış yan duvarındaki 3 konkadan alttakini oluşturur.""]";Ders kitabı s.55
columna_vertebralis;learn;entry;bone;Columna Vertebralis;Movement System;Trunk;"columna vertebralis; omurga; omurga kanalı; lordoz; kifoz; omurilik";Gövdenin yükünü taşıyan kemik kolondur. Uzunluğu erişkin bir erkekte yaklaşık 70 cm, kadında ise 60 cm’dir. Vücudun dorsal bölgesinde artkafa kemiğinin altından başlayıp pelvise kadar uzanır. Bu kemik kolonda her bir omur deliğinin üst üste gelmesiyle omurga kanalı (canalis vertebralis) oluşur. Omurgaya yandan bakıldığında dört eğrilik görülür. Bunlar, boyun ve bel bölgesinde lordoz, göğüs ve sakrum bölgesinde kifozdur. Omurgada 33 omur olmasına rağmen 26 kemik bulunur. Bu 26 kemik arasında 23 tane omurlar arası disk (discus intervertebralis) bulunur.;"[""Omurga kanalı içerisinde omurilik bulunur ve bu sayede omurga omuriliği korur."", ""Omurga baş, boyun ve gövdenin ağırlığını taşır."", ""Omurga başın ve gövdenin hareketlerini sağlar.""]";Ders kitabı s.58
vertebrae_cervicales;learn;entry;bone;Vertebrae cervicales;Movement System;Trunk;"columna vertebralis; omurga; vertebrae cervicales; omur; vertebra; boyun; atlas; axis; lordoz";7 adet boyun omuru bulunur ve C1-C7 sembolleri ile gösterilirler. C1 omura atlas, C2 omura axis adı verilir. Atlas üst tarafta foramen magnumu çevreleyecek şekilde artkafa kemiği, alt tarafta ise axisle eklem yapar.;"[""Doğal lordoz eğriliği oluştururlar."", ""Servikal omurlar küçüktür."", ""Atlas ile axis arasında disk yoktur."", ""Atlas ile axis kafanın hareketini sağlar.""]";Ders kitabı s.59
vertebrae_thoracicae;learn;entry;bone;Vertebrae thoracicae;Movement System;Trunk;"columna vertebralis; omurga; vertebrae thoracicae; omur; vertebra; göğüs; kifoz";12 adet göğüs omuru bulunur ve T1-T12 sembolleri ile gösterilirler. Kaburgalarla eklem yaparlar. ;"[""Doğal kifoz eğriliği oluştururlar."", ""Hareketleri boyun omurlarına kıyasla daha sınırlıdır.""]";Ders kitabı s.59
vertebrae_lumbales;learn;entry;bone;Vertebrae lumbales;Movement System;Trunk;"columna vertebralis; omurga; vertebrae lumbales; omur; vertebra; bel; lordoz; büyük; sağlam";5 adet bel omuru bulunur ve L1-L5 sembolleri ile gösterilirler.;"[""Doğal lordoz eğriliği oluştururlar."", ""Gövdesi en büyük ve en sağlam omurlar lumbal bölgededir."", ""Vücut ağırlığının büyük kısmını taşırlar.""]";Ders kitabı s.59
vertebrae_sacrale;learn;entry;bone;Vertebrae sacrale (os sacrum);Movement System;Trunk;"columna vertebralis; omurga; vertebrae sacrale; os sacrum; omur; vertebra; kuyruk sokumu; sağrı; promontorium; kifoz; kemik";5 adet sağrı omuru bulunur ve S1-S5 sembolleri ile gösterilirler. Bu bölgedeki omurlar yetişkinlerde kaynaşıp bir kemiğe dönüşür.;"[""Doğal kifoz eğriliği oluştururlar."", ""Promontorium adı verilen çıkıntı S1'in gövdesinin üst kenarında bulunur."", ""Vücudun ağırlık merkezi S2’nin 2-2,5 cm önüne denk gelir.""]";Ders kitabı s.59
vertebrae_coccygea;learn;entry;bone;Vertebrae coccygea (os coccyge);Movement System;Trunk;"columna vertebralis; omurga; vertebrae coccygea; os coccyge; omur; vertebra; kuyruk; kemik";4 adet kuyruk omuru bulunur ve Co1-Co4 sembolleri ile gösterilirler. Bu bölgedeki omurlar yetişkinlerde kaynaşıp bir kemiğe dönüşür.;"[""S5 ile Co1 arasında disk yoktur.""]";Ders kitabı s.59
thoracic_cage;learn;entry;bone;Thorax;Movement System;Trunk;"thoracic cage; göğüs kafesi; göğüs boşluğu; koruma";"Önde göğüs tahtası kemiği (Os Sternum) ile 12 çift kaburgadan (Ossa Costae) oluşur. Arka bölümünde göğüs
omurları bulunur. Göğüs kafesinin iç kısmına göğüs boşluğu denir. Bu boşlukta kalp ve akciğer gibi önemli organlar bulunur.";;Ders kitabı s.60
os_sternum;learn;entry;bone;Os Sternum;Movement System;Trunk;"thoracic cage; göğüs kafesi; os sternum; göğüs tahtası kemiği; manubrium sterni; sternum sapı; corpus sterni; sternum
gövdesi; processus xiphoideus; hançersi çıkıntı";"Üç kısımdan oluşur. Üstteki kısmına sternum sapı (manubrium sterni), ortadaki kısmına sternum
gövdesi (corpus sterni) ve uç kısmına ise hançersi çıkıntı (processus xiphoideus) denir.";"[""Manubrium sterni hem köprücük kemiği (clavicula) hem de 1 ve 2’nci kaburga ile eklem yapar."", ""Corpus sterni her iki tarafında bulunan 2 ve 7’nci kaburgalarla eklem yapar."", ""Processus xiphoideus kaburgalarla eklem yapmaz.""]";Ders kitabı s.60
ossa_costae;learn;entry;bone;Ossa Costae;Movement System;Trunk;"thoracic cage; göğüs kafesi; ossa costae; kaburga; kosta; gerçek kaburga; yalancı kaburga; yüzen kaburga";Baş kısımları (caput costae) arkada göğüs omurlarıyla eklem yapar. Kaburgalar sternuma bağlanma özelliklerine göre iki gruba ayrılır. Sternumla doğrudan eklem yapan ilk 7 çift kaburgaya gerçek kaburga denir. Son 5 çift kaburgaya ise yalancı kaburga denir. Yalancı kaburgaların ilk 3 çiftinin (8, 9 ve 10’uncu) kıkırdakları önce kendi aralarında birleşip 7’nci kaburganın kıkırdağına katılır ve sternumla dolaylı eklem yapar. Son 2 çift yalancı kaburga (11 ve 12’nci) kasların içinde serbest olarak sonlanır ve yüzen kaburga olarak adlandırılır.;;Ders kitabı s.60
os_clavicula;learn;entry;bone;Os Clavicula;Movement System;Upper_Extremity;"cingulum membri superioris; omuz; köprücük kemiği; köprü";"Her iki omzun ön tarafında hem kürek kemiği hem de sternum ile eklem yapar. Vücutta en sık kırılan
kemiktir. Omuzla göğüs arasında köprü görevi yapar. Kemikleşmeye ilk başlayan kemiktir.";;Ders kitabı s.61
os_scapula;learn;entry;bone;Os Scapula;Movement System;Upper_Extremity;"cingulum membri superioris; omuz; kürek kemiği; acromion; korakoid çıkıntı; processus coracoideus; glenoid çukur; cavitas glenoidalis";Her iki omzun arka bölgesinde T2-T7 arasında yer alır. Arkadan dış yana doğru uzanan çıkıntısına acromion denir. Acromion çıkıntısı köprücük kemiği ile eklem yapar. Üst dış yanda öne doğru uzanan ve bazı kasların tutunduğu gagaya benzer çıkıntısına korakoid çıkıntı (processus coracoideus) denir. Üst dış kenarında ise kol kemiğiyle eklem yapan glenoid çukur (cavitas glenoidalis) bulunur.;;Ders kitabı s.61
os_humerus;learn;entry;bone;Os Humerus;Movement System;Upper_Extremity;"brachium; kol; kol kemiği; uzun; caput humeri; humerus başı; trochlea humeri; humerus makarası; capitulum humeri; humerus başçığı";Omuz ve dirsek eklemi arasında bulunan kemiktir. Humerus başı (caput humeri), kürek kemiği ile eklem (omuz eklemi) yapar. Alt ucu iki ön kol kemiği ile eklem (dirsek eklemi) yapar. İç yandaki dirsek kemiği ile eklem yapan kısmına humerus makarası (trochlea humeri) ve dış yandaki döner kemikle eklem yapan kısmına humerus başçığı (capitulum humeri) denir.;"[""Üst ekstremitenin en uzun kemiğidir.""]";Ders kitabı s.62
os_ulna;learn;entry;bone;Os Ulna;Movement System;Upper_Extremity;"antebrachium; ön kol; dirsek kemiği; olecranon; dirsek çıkıntısı; caput ulnae; ulna başı; serçe parmak";Serçe parmak tarafındaki kemiktir. Humerus ile eklem yapan üst ucuna olecranon (dirsek çıkıntısı) denir. Ulna başı (caput ulnae) aşağıda olup bilek eklemine katılır.;;Ders kitabı s.62
os_radius;learn;entry;bone;Os Radius;Movement System;Upper_Extremity;"antebrachium; ön kol; döner kemik; caput radii; radius başı; başparmak";Başparmak tarafındaki kemiktir. Üstteki radius başı (caput radii) humerus ile eklem yapar. Anatomik duruşta ulna ile paraleldir. Öne uzatılan elin avuç içi aşağı çevrildiğinde bu kemik ulnanın üzerine doğru döner. Alt ucu bilek eklemine katılır.;;Ders kitabı s.62
ossa_carpi;learn;entry;bone;Ossa Carpi;Movement System;Upper_Extremity;"manus; el; bilek; el bileği";El bileğinde 4’erli iki sıra halinde 8 kısa kemik bulunur. Ön kol kemikleri ile el tarağı kemikleri arasında yer alır. Kaslar ve bağlarla birbirine sıkıca bağlandıkları için hareketleri kısıtlıdır.;;Ders kitabı s.63
ossa_metacarpi;learn;entry;bone;Ossa Metacarpi;Movement System;Upper_Extremity;"manus; el; tarak; el tarak";Avuç içi ve el sırtının iskeletini oluşturan 5 uzun kemiktir. El bileği kemikleri ile parmak kemikleri arasında bulunur.;;Ders kitabı s.63
ossa_digitorum_manus;learn;entry;bone;Ossa Digitorum Manus (Phalanges);Movement System;Upper_Extremity;"manus; el; parmak; el parmak";Beş parmakta toplam 14 kemik bulunur. Kemik sayısı başparmakta 2 diğer parmaklarda 3’er tanedir.;;Ders kitabı s.63
os_coxa;learn;entry;bone;Os Coxa;Movement System;Lower_Extremity;"alt ekstremite; kalça; pelvis; çift; düzensiz; acetabulum";Pelvisin yan duvarını oluşturan ve uyluk kemiği ile eklem yapan kalça kemiğidir.;"[""Dış yüzünde femur ile eklem yapan çanak şeklinde acetabulum bulunur."", ""Sağ ve sol olmak üzere 2 adet os coxae vardır."", ""Sakrum ile birlikte pelvis boşluğunu oluşturur."", ""Üç kemiğin birleşmesiyle oluşur."", ""15–16 yaşlarında kaynaşarak tek kemik haline gelir.""]";Ders kitabı s.64
"os_ilium
";learn;entry;bone;"Os Ilium
";Movement System;Lower_Extremity;"alt ekstremite; kalça; pelvis; üst; yassı; ilium";Os coxae’nin üst bölümünü oluşturan geniş kemiktir.;"[""Os coxae’nin en geniş parçasıdır."", ""Pelvisin üst bölümünü oluşturur."", ""Arkada sakrumdan başlayarak öne doğru geniş bir kavis çizer."", ""Önde os pubis ile birleşir.""]";Ders kitabı s.64
"os_pubis
";learn;entry;bone;Os Pubis;Movement System;Lower_Extremity;"alt ekstremite; kalça; pelvis; ön; pubis; eklem";Os coxae’nin ön bölümünü oluşturan kemiktir.;"[""Os coxae’nin ön bölümünü oluşturur."", ""Karşılıklı iki çatı kemiği ön alt tarafta birbiriyle eklemleşir""]";Ders kitabı s.64
"os_ischii
";learn;entry;bone;Os Ischii;Movement System;Lower_Extremity;"alt ekstremite; kalça; pelvis; alt; arka; ischii";Os coxae’nin alt-arka bölümünü oluşturan kemiktir.;"[""Oturur pozisyonda gövde ağırlığını taşır."", ""Çatı kemiğiyle beraber foramen obturatumu oluşturur""]";Ders kitabı s.64
"os_femur
";learn;entry;bone;Os Femur;Movement System;Lower_Extremity;"alt ekstremite; uyluk; uzun; çift; femur";İskeletin en büyük, en uzun ve en sağlam kemiğidir.;"[""Femur başı (caput femoris) kalça kemiğinin acetabulum çukuru ile eklem yapar."", ""Alt ucunda kaval kemiği ile eklem yapan iki yumrusu (condylus) bulunur.""]";Ders kitabı s.64
"os_patella
";learn;entry;bone;Os Patella;Movement System;Lower_Extremity;"alt ekstremite; uyluk; diz; susamsı; patella";Vücudun en büyük susamsı kemiğidir.;"[""Dört başlı femur kasının tendonu içine yerleşmiştir"", ""Femur ile eklem yaparak diz eklemine katılır.""]";Ders kitabı s.64
os_tibia;learn;entry;bone;Os Tibia;Movement System;Lower_Extremity;"alt ekstremite; baldır; iç; uzun; tibia";Baldır bölgesinin iç yanında bulunan büyük kemiktir.;"[""Tibia başı (caput tibia) yukarıda femur ile eklem yapar"", ""Alt ucu ayak bileği eklemine katılır."", ""Dış yanında kamış kemikle eklem yapar.""]";Ders kitabı s.64
"os_fibula
";learn;entry;bone;Os Fibula;Movement System;Lower_Extremity;"alt ekstremite; baldır; dış; ince; fibula";Baldır bölgesinde yer alan ince kemiktir.;"[""Diz eklemine katılmaz."", ""Kemik başı tibia kemiğinin dış yanındaki yumru ile eklem yapar."", ""Alt ucu ayak bileği eklemine katılır.""]";Ders kitabı s.64
ossa_tarsi;learn;entry;bone;Ossa Tarsi;Movement System;Lower_Extremity;"alt ekstremite; ayak; ayak bileği; kısa; tarsal";Ayak bileğinde yer alan kısa kemik grubudur.;"[""Ayak bileğinde iki sıra halinde dizilmiş 7 kısa kemik bulunur."", ""Baldır kemikleri ile ayak tarak kemikleri arasında yer alır."", ""Aşık kemiği (os talus), tibia ve fibula ile ayak bileği eklemini oluşturur."", ""Ayak bileğindeki en büyük kemik topuk kemiğidir (os calcaneus).""]";Ders kitabı s.65
ossa_metatarsi;learn;entry;bone;Ossa Metatarsi;Movement System;Lower_Extremity;"alt ekstremite; ayak; tarak; uzun; metatarsal";Ayak tabanı ve ayak sırtının iskeletini oluşturan kemik grubudur.;"[""5 uzun kemikten oluşur."", ""Ayak bileği kemikleri ile ayak parmak kemikleri arasında yer alır.""]";Ders kitabı s.65
ossa_digitorum_pedis;learn;entry;bone;Ossa Digitorum Pedis;Movement System;Lower_Extremity;"alt ekstremite; ayak; parmak; falanks";Ayak parmaklarını oluşturan kemik grubudur.;"[""Başparmakta 2 parmak kemiği bulunur."", ""Diğer parmaklarda 3’er tane parmak kemiği bulunur."", ""Toplam 14 parmak kemiğinden oluşur.""]";Ders kitabı s.65
sutura;learn;entry;Joint;Sutura;Movement System;Head_Face;"eklem; oynamaz; fibroz; sutura
";Kafa kemikleri arasında bulunan oynamaz, dikiş tarzı eklemdir.;;Ders kitabı s.67
gomphosis;learn;entry;Joint;Gomphosis;Movement System;Head_Face;"eklem; oynamaz; fibroz; gomphosis";Diş kökü ile çene kemiği arasında bulunan oynamaz eklemdir.;;Ders kitabı s.67
syndesmosis;learn;entry;Joint;Syndesmosis;Movement System;Lower_Extremity;"eklem; oynamaz; fibroz; syndesmosis";Kemik yüzlerinin birbirine ligamentlerle bağlandığı oynamaz eklemdir.;"[""Kemik yüzleri birbirine ligamentlerle sıkıca bağlanmıştır."", ""Örnek: Ulna ile radius arasındaki eklem.""]";Ders kitabı s.67
synchondrosis;learn;entry;Joint;Synchondrosis;Movement System;Trunk;"eklem; yarı oynar; synchondrosis; kartilaginoz; hiyalin kıkırdak; sternum; kosta; epifiz plak";Eklem yüzleri arasında hiyalin kıkırdak bulunan yarı oynar eklemdir.;"[""Örnek: Kaburgalar ile sternum arasındaki eklemler."", ""Örnek: Uzun kemiklerin epifiz plakları.""]";Ders kitabı s.67
symphysis;learn;entry;Joint;Symphysis;Movement System;Lower_Extremity;"eklem; yarı oynar; kartilaginoz; fibroz kıkırdak; disk; pelvis; omur";Eklem yüzleri arasında fibroz kıkırdak yapısında disk bulunan yarı oynar eklemdir.;"[""Örnek: Pubis kemikleri arasındaki eklem (symphysis pubis)."", ""Örnek: Omurlar arasındaki eklemler (symphysis intervertebralis).""]";Ders kitabı s.67
art_temporomandibularis;learn;entry;Joint;Art. Temporomandibularis;Movement System;Head_Face;"eklem; oynar; temporomandibular; çene; kafa";Kafa bölgesinin tek oynar eklemidir.;"[""Temporal ve mandibular kemik arasında bulunur."", ""Alt çeneyi dış yana, iç yana, öne ve arkaya doğru hareket ettirir."", ""Alt çeneyi yukarı ve aşağı doğru hareket ettirir.""]";Ders kitabı s.70
art_atlantooccipitalis;learn;entry;Joint;Art. Atlantooccipitalis;Movement System;Trunk;"eklem; oynar; atlantooccipital; atlas; oksipital";Oksipital kemik ile atlas arasındaki oynar eklemdir.;"[""Başa fleksiyon, ekstansiyon ve biraz da lateral fleksiyon yaptırır.""]";Ders kitabı s.70
art_atlantoaxialis;learn;entry;Joint;Art. Atlantoaxialis;Movement System;Trunk;"eklem; oynar; atlantoaxial; atlas; eksen";Atlas ile eksen arasındaki oynar eklemdir.;"[""Başa rotasyon hareketi yaptırır.""]";Ders kitabı s.70
art_humeri;learn;entry;Joint;Art. Humeri;Movement System;Upper_Extremity;"eklem; oynar; omuz; humerus; skapula";Humerus başı ile skapula kemiği arasındaki oynar eklemdir.;"[""Vücudun en fazla hareket yeteneğine sahip eklemidir."",  ""Kola tüm hareketleri yaptırır.""]";Ders kitabı s.70
art_cubiti;learn;entry;Joint;Art. Cubiti;Movement System;Upper_Extremity;"eklem; oynar; dirsek; humerus; ulna; radius";Humerus, ulna ve radius kemikleri arasındaki oynar eklemdir.;"[""Üç ayrı eklemden oluşur."", ""Hem fleksiyon ve ekstansiyon hem de pronasyon ve supinasyon yaptırır.""]";Ders kitabı s.70
art_ radiocarpalis;learn;entry;Joint;Art. Radiocarpalis;Movement System;Upper_Extremity;"eklem; oynar; el bileği; radius; karpal";Proksimaldeki üç karpal kemik ile radius kemiği arasındaki oynar eklemdir.;"[""Ulna kemiği bu ekleme girmez."", ""El bileğine fleksiyon , ekstansiyon, abdüksiyon, addüksiyon, sirkümdüksiyon yaptırır.""]";Ders kitabı s.70
art_coxae;learn;entry;Joint;Art. Coxae;Movement System;Lower_Extremity;"eklem; oynar; kalça; acetabulum; femur";Kalça kemiğinin acetabulum çukuru ile femur başı arasındaki oynar eklemdir.;"[""Bacağa tüm hareketleri yaptırır.""]";Ders kitabı s.70
art_genus;learn;entry;Joint;Art. Genus;Movement System;Lower_Extremity;"eklem; oynar; diz; femur; tibia; patella";Vücudun en büyük ve karmaşık eklemlerinden biridir.;"[""Femur, tibia ve patella kemikleri arasındadır."", ""Fibula kemiği bu ekleme katılmaz."", ""Eklem yüzleri arasında menisküsler vardır."", ""Eklem ön yüzünde patella bulunur."", ""Dize fleksiyon ve ekstansiyon yaptırır."", ""Yarı fleksiyonda biraz iç ve dış rotasyon yaptırır.""]";Ders kitabı s.71
m_pectoralis_major;learn;entry;muscle;M. Pectoralis Major;Movement System;Trunk;"kas; göğüs; yüzeysel; büyük göğüs kası; adduksiyon; iç rotasyon; fleksiyon";Göğüs kafesinin üst ön kısmını örten, geniş yelpaze şeklinde ve kalın bir kastır. Koltuk altının ön duvarını oluşturur. Klavikula ve sternumdan başlayıp humerusta sonlanır.;"[""Derin ve kuvvetli soluk almaya yardım eder."" , ""Kola addüksiyon, fleksiyon ve iç rotasyon yaptırır.""]";Ders kitabı s.77
m_pectoralis_minor;learn;entry;muscle;M. Pectoralis Minor;Movement System;Trunk;"kas; göğüs; yüzeysel; küçük göğüs kası";Büyük göğüs kasının altında üçgen şeklinde bir kastır. 2-5’inci kaburgaların ön yüzünden başlar, skapulanın korakoid çıkıntısında sonlanır.;"[""Skapulayı öne doğru çeker."" , ""Soluk almaya yardım eder.""]";Ders kitabı s.77
m_subclavius;learn;entry;muscle;M. Subclavius;Movement System;Trunk;"kas; göğüs; yüzeysel; köprücük; koltuk altı";Birinci kaburga ile klavikula arasında uzanan küçük bir kastır.;"[""Koltuk altı damar ve sinir ağını korur.""]";Ders kitabı s.77
m_serratus_anterior;learn;entry;muscle;M. Serratus Anterior;Movement System;Trunk;"kas; göğüs; yüzeysel; ön dişli";Göğüs yan duvarında yassı, eldiven parmağı gibi dişleri olan bir kastır. Kaburgalar ile skapula arasındadır.;"[""Skapulayı kaburgalara doğru çeker."" , ""Soluk almaya yardım eder.""]";Ders kitabı s.77
m_trapezius;learn;entry;muscle;M. Trapezius;Movement System;Trunk;"kas; sırt; yamuk; ince";Oldukça ince olup sırtın üst bölgesi ve ensenin en yüzeysel kasıdır.;"[""Kolun yukarı kaldırılmasına yardım eder."" , ""Orta lifler skapulayı omurgaya doğru çeker.""]";Ders kitabı s.79
m_latissimus_dorsi;learn;entry;muscle;M. Latissimus Dorsi;Movement System;Trunk;"kas; sırt; geniş; adduksiyon; iç rotasyon; fleksiyon";Sırtın en geniş kasıdır. Sırtın arka alt ve yan kısımlarını örter.;"[""Kola addüksiyon, içe rotasyon ve ekstansiyon yaptırır.""]";Ders kitabı s.79
m_rhomboideus_major;learn;entry;muscle;M. Rhomboideus Major;Movement System;Trunk;"kas; sırt; yassı; büyük romboid";Trapez kasın önünde dikdörtgen şeklinde küçük, yassı bir kastır.;"[""Skapulayı omurgaya doğru çeker, sabitler.""]";Ders kitabı s.79
m_rhomboideus_minor;learn;entry;muscle;M. Rhomboideus Minor;Movement System;Trunk;"kas; sırt; küçük romboid";Büyük romboid kasın üst tarafında yer alır ve onunla beraber skapulayı omurgaya doğru çeker.;;Ders kitabı s.79
m_serratus_posterior_superior;learn;entry;muscle;M. Serratus Posterior Superior;Movement System;Trunk;"kas; sırt; üst arka dişli";Kasıldığı zaman kaburgaları yukarı doğru kaldırarak göğüs boşluğunu genişletir ve soluk almaya yardımcı olur.;;Ders kitabı s.79
m_serratus_posterior_inferior;learn;entry;muscle;M. Serratus Posterior Inferior;Movement System;Trunk;"kas; sırt; alt arka dişli";Kasıldığı zaman kaburgaları aşağı doğru çekerek göğüs boşluğunu daraltır ve soluk vermeye yardımcı olur.;;Ders kitabı s.79
m_deltoideus;learn;entry;muscle;M. Deltoideus;Movement System;Upper_Extremity;"kas; omuz; abdüksiyon";Üç kısımdan oluşan ve omuz kabarıklığını oluşturan kastır.;"[""Asıl işlevi kola abdüksiyon yaptırmaktır."" , ""Farklı kısımlarıyla diğer kasların hareketlerine de katkıda bulunur.""]";Ders kitabı s.80
m_teres_major;learn;entry;muscle;M. Teres Major;Movement System;Upper_Extremity;"kas; omuz; büyük silindirik; adduksiyon; iç rotasyon; fleksiyon";Skapula ile humerus arasında uzanır.;"[""Kola addüksiyon, ekstansiyon ve iç rotasyon yaptırır.""]";Ders kitabı s.80
m_teres_minor;learn;entry;muscle;M. Teres Minor;Movement System;Upper_Extremity;"kas; omuz; küçük silindirik; dış rotasyon";Skapula ile humerus arasında uzanır.;"[""Kola dış rotasyon yaptırır.""]";Ders kitabı s.80
m_biceps_brachialis;learn;entry;muscle;M. Biceps Brachialis;Movement System;Upper_Extremity;"kas; kol; iki başlı; supinasyon; fleksiyon";Kolun ön bölümünde bulunan iki başlı kastır. Skapuladan başlayıp radiusta sonlanır.;"[""Ön kola supinasyon ve fleksiyon yaptırır.""]";Ders kitabı s.81
m_brachialis;learn;entry;muscle;M. Brachialis;Movement System;Upper_Extremity;"kas; kol; fleksiyon";Humerusun ön yüzünden başlayıp ulnanın üst ucunda sonlanır.;"[""Ön kola fleksiyon yaptırır.""]";Ders kitabı s.81
m_coracobrachialis;learn;entry;muscle;M. Coracobrachialis;Movement System;Upper_Extremity;"kas; kol; korakobrakial; fleksiyon; adduksiyon";Korakoid çıkıntı ile humerus arasındadır.;"[""Ön kola fleksiyon ve addüksiyon yaptırır.""]";Ders kitabı s.81
m_triceps_brachialis;learn;entry;muscle;M. Triceps Brachialis;Movement System;Upper_Extremity;"kas; kol; üç başlı; ekstansiyon";Kolun arkasında bulunan üç başlı kastır. Bir ucu skapula, iki ucu humerustan başlayıp ulnanın olekranon çıkıntısında sonlanır.;"[""Ön kola ekstansiyon yaptırır.""]";Ders kitabı s.81
